zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
12439,128,10.9,0.0,5.5,8.6,20.3,9.4,32.8,9.4,3.1,0.0,-,67413,297,97.6,82.5,43.8,2.4,6.5,16.2
12440,640,5.3,2.0,4.4,4.2,10.6,13.9,14.2,15.6,18.0,11.7,92258,111605,1488,99.1,78.6,41.7,0.9,6.2,9.9
12441,66,0.0,0.0,0.0,0.0,50.0,42.4,0.0,7.6,0.0,0.0,46250,50056,105,100.0,16.2,89.5,0.0,0.0,0.0
12442,357,26.1,5.3,10.4,17.6,5.9,15.4,1.4,6.4,8.4,3.1,32853,56622,648,99.2,56.2,70.4,0.8,18.5,26.1
12443,1577,1.6,0.0,4.2,6.5,9.8,12.4,14.3,18.1,11.8,21.3,104620,133966,3580,97.8,78.4,41.2,2.2,1.1,3.9
12444,162,4.9,11.7,9.3,10.5,8.6,8.6,13.0,6.2,10.5,16.7,65357,94151,538,89.8,55.8,49.8,10.2,5.0,5.9
12446,2032,13.6,0.4,3.3,7.0,2.7,26.3,8.6,16.0,8.6,13.3,73600,110894,4894,94.4,72.1,38.5,5.6,10.9,14.0
12448,85,0.0,0.0,0.0,0.0,17.6,21.2,0.0,10.6,16.5,34.1,-,140412,142,100.0,72.5,43.0,0.0,0.0,8.5
12449,1175,2.0,6.5,1.6,9.1,14.6,14.2,11.8,23.4,6.8,10.0,82112,101890,2765,91.2,69.8,36.0,8.8,4.3,7.7
12450,96,12.5,0.0,0.0,0.0,12.5,0.0,0.0,35.4,0.0,39.6,-,176606,221,71.9,47.1,33.9,28.1,14.3,17.6
12451,399,14.0,8.5,4.8,17.8,2.3,17.5,15.8,12.8,0.0,6.5,51193,61649,1044,96.8,72.7,40.0,3.2,0.0,11.7
12452,14,0.0,0.0,21.4,0.0,0.0,0.0,0.0,78.6,0.0,0.0,-,N,27,100.0,88.9,100.0,0.0,0.0,0.0
12453,100,0.0,0.0,0.0,74.0,0.0,13.0,0.0,0.0,0.0,13.0,-,65719,240,100.0,19.2,86.3,0.0,0.0,0.0
12454,152,0.0,0.0,0.0,11.2,4.6,31.6,11.2,18.4,9.9,13.2,79500,120184,435,96.6,82.3,31.7,3.4,0.0,0.0
12455,780,2.2,4.7,7.1,11.2,11.4,14.6,17.3,22.9,1.5,7.1,74274,83268,1739,91.8,55.7,53.5,8.2,7.1,8.4
12456,258,0.0,10.1,0.0,0.0,12.0,8.5,21.7,40.3,3.5,3.9,89732,95909,728,92.3,80.6,13.6,7.7,0.0,3.7
12457,571,10.3,2.1,1.6,1.4,5.1,34.9,8.2,16.1,2.3,18.0,70911,112858,1283,93.8,58.4,52.9,6.2,3.4,7.5
